x, y,ID
0,38,Halwe1
0.987155798,24.84563795,Halwe1
1.980734415,14.19686761,Halwe1
2.991742842,14.00894845,Halwe1
0,38,Halwe2
0.987155798,22.1521245,Halwe2
1.98865643,15.36365756,Halwe2
2.986988197,19.05371779,Halwe2
3.999581805,20.53999063,Halwe2
4.997913571,23.20503404,Halwe2
5.996246295,25.71632371,Halwe2
6.994578061,25.92132811,Halwe2
8.00717119,25.15256463,Halwe2
8.991241594,25.87007744,Halwe2
10.00383568,28.53511912,Halwe2
11.00216745,28.84262486,Halwe2
12.00050017,30.07264436,Halwe2
12.99883194,29.76513863,Halwe2
0,38,Halwe3
0.990324664,20.23248662,Halwe3
1.98865643,15.51740957,Halwe3
2.986988197,15.05615268,Halwe3
3.999581805,21.05249905,Halwe3
4.997913571,23.15378337,Halwe3
5.996246295,26.43383652,Halwe3
6.994578061,35.55648145,Halwe3
7.992909828,30.99515985,Halwe3
9.005503914,31.71266922,Halwe3
9.98957336,30.12389675,Halwe3
11.00216745,31.66142027,Halwe3
12.00050017,30.89265851,Halwe3
12.99883194,30.94390746,Halwe3
13.9971637,33.25019618,Halwe3
14.99549547,33.19894379,Halwe3
16.0080886,32.94268872,Halwe3
17.00642037,33.14769484,Halwe3
18.00475213,34.275213,Halwe3
19.0030839,35.09522371,Halwe3
20.01567918,37.29901109,Halwe3
21.01401095,38,Halwe3
0,38,Halwe4
0.990324664,26.53633786,Halwe4
2.002918272,21.05249905,Halwe4
3.001250038,19.46372314,Halwe4
4.001008755,27.04330306,Halwe4
5.005045449,25.07015911,Halwe4
5.99339407,24.67553032,Halwe4
6.997430765,27.88893619,Halwe4
8.001467459,28.39631606,Halwe4
9.005504154,28.73456931,Halwe4
10.00954085,27.15605415,Halwe4
11.01357754,29.46745135,Halwe4
12.00192616,29.07282256,Halwe4
13.00596286,29.74932906,Halwe4
14.00999955,31.60972193,Halwe4
15.01403625,32.17347735,Halwe4
16.01807294,34.09024576,Halwe4
17.00642156,35.95063864,Halwe4
18.01045826,36.51439405,Halwe4
19.01449495,38,Halwe4
20.03421972,38,Halwe4
21.02256834,38,Halwe4
0,38,Halwe5
0.988898671,27.66343402,Halwe5
1.992935366,15.48631704,Halwe5
2.99697206,13.51317308,Halwe5
4.001008755,18.75609845,Halwe5
5.005045449,20.16548699,Halwe5
6.009082144,26.47954765,Halwe5
6.997430765,24.28090153,Halwe5
0,38,Halwe6
0.988898671,28.62181823,Halwe6
1.992935366,17.7413387,Halwe6
2.99697206,18.13596749,Halwe6
